date,price,prev_pos,action,new_pos,turnover,reward,portfolio_value,portfolio_ret,trade
2023-05-24,397.8468322753906,1.0,1.0,1.0,0.0,0.008660050189293278,1.0043853265231637,0.008660050189293278,HOLD
2023-05-25,401.2922058105469,1.0,1.0,1.0,0.0,0.012950640185746431,1.0173927594948087,0.012950640185746431,HOLD
2023-05-26,406.48919677734375,1.0,1.0,1.0,0.0,0.0003808604879429467,1.0177802441976196,0.0003808604879429467,HOLD
2023-05-30,406.6440124511719,1.0,1.0,1.0,0.0,-0.0055451777501552835,1.0121364718329473,-0.0055451777501552835,HOLD
2023-05-31,404.38909912109375,1.0,1.0,1.0,0.0,0.009501153948729302,1.021752936268956,0.009501153948729302,HOLD
2023-06-01,408.23126220703125,1.0,1.0,1.0,0.0,0.01446109949658081,1.036528607141265,0.01446109949658081,HOLD
2023-06-02,414.1347351074219,1.0,1.0,1.0,0.0,-0.0019163814803240253,1.0345422229147134,-0.0019163814803239143,HOLD
2023-06-05,413.3410949707031,1.0,1.0,1.0,0.0,0.0021775113643234256,1.0367949503619827,0.0021775113643234256,HOLD
2023-06-06,414.24114990234375,1.0,1.0,1.0,0.0,-0.0034577504664482506,1.0332099721387573,-0.0034577504664482506,HOLD
2023-06-07,412.8088073730469,1.0,1.0,1.0,0.0,0.00604867967347178,1.0394595282956614,0.00604867967347178,HOLD
2023-06-08,415.3057556152344,1.0,1.0,1.0,0.0,0.0017941412499717924,1.041324465513053,0.0017941412499717924,HOLD
2023-06-09,416.0508728027344,1.0,1.0,1.0,0.0,0.00907185460738913,1.0507712096633046,0.00907185460738913,HOLD
2023-06-12,419.8252258300781,1.0,1.0,1.0,0.0,0.006592941849334011,1.0576988831455691,0.006592941849334011,HOLD
2023-06-13,422.5931091308594,1.0,1.0,1.0,0.0,0.0011908260035669027,1.0589584184795626,0.0011908260035669027,HOLD
2023-06-14,423.0963439941406,1.0,1.0,1.0,0.0,0.01239770193654488,1.0720870693150673,0.01239770193654488,HOLD
2023-06-15,428.3417663574219,1.0,1.0,1.0,0.0,-0.00340612214262237,1.0684354098094542,-0.0034061221426222588,HOLD
2023-06-16,426.8827819824219,1.0,1.0,1.0,0.0,-0.005188340513844092,1.0628920030863143,-0.005188340513843981,HOLD
2023-06-20,424.66796875,1.0,1.0,1.0,0.0,-0.005123703605758201,1.0574460594975694,-0.00512370360575809,HOLD
2023-06-21,422.4920959472656,1.0,1.0,1.0,0.0,0.003609881697207884,1.0612633146735344,0.003609881697207884,HOLD
2023-06-22,424.0172424316406,1.0,1.0,1.0,0.0,-0.007560134637503713,1.053240021128759,-0.007560134637503824,HOLD
2023-06-23,420.8116149902344,1.0,1.0,1.0,0.0,-0.004085674575418197,1.0489368251526203,-0.004085674575418086,HOLD
2023-06-26,419.0923156738281,1.0,1.0,1.0,0.0,0.010963300537682796,1.0604366348118113,0.010963300537682796,HOLD
2023-06-27,423.68695068359375,1.0,1.0,1.0,0.0,0.0005044162895848636,1.060971536324483,0.0005044162895848636,HOLD
2023-06-28,423.9006652832031,1.0,1.0,1.0,0.0,0.003941289714454843,1.065153132527928,0.003941289714454843,HOLD
2023-06-29,425.5713806152344,1.0,1.0,1.0,0.0,0.011800684726839705,1.0777226688306958,0.011800684726839705,HOLD
2023-06-30,430.5934143066406,1.0,1.0,1.0,0.0,0.0011505572236374384,1.0789626504323968,0.0011505572236374384,HOLD
2023-07-03,431.0888366699219,1.0,1.0,1.0,0.0,-0.0014871244837239006,1.0773580986579152,-0.0014871244837239006,HOLD
2023-07-05,430.44775390625,1.0,1.0,1.0,0.0,-0.007830747189347953,1.0689215797549285,-0.007830747189347953,HOLD
2023-07-06,427.0770263671875,1.0,1.0,1.0,0.0,-0.002524641894006585,1.0662229355532715,-0.002524641894006585,HOLD
2023-07-07,425.9988098144531,1.0,1.0,1.0,0.0,0.002531031843032716,1.0689215797549287,0.002531031843032716,HOLD
2023-07-10,427.0770263671875,1.0,1.0,1.0,0.0,0.006368520114388154,1.0757290283363015,0.006368520114388154,HOLD
2023-07-11,429.796875,1.0,1.0,1.0,0.0,0.008045963300250758,1.0843843046193098,0.008045963300250758,HOLD
2023-07-12,433.2550048828125,1.0,1.0,1.0,0.0,0.007936943980728195,1.0929910020986542,0.007936943980728195,HOLD
2023-07-13,436.6937255859375,1.0,1.0,1.0,0.0,-0.0006227296678169569,1.0923103641749903,-0.000622729667817068,HOLD
2023-07-14,436.4217834472656,1.0,1.0,1.0,0.0,0.003472075327385138,1.0961029480402893,0.003472075327385138,HOLD
2023-07-17,437.93707275390625,1.0,1.0,1.0,0.0,0.00743049528784101,1.1042475358306914,0.00743049528784101,HOLD
2023-07-18,441.191162109375,1.0,1.0,1.0,0.0,0.002223843587500385,1.1067032096322615,0.002223843587500385,HOLD
2023-07-19,442.17230224609375,1.0,1.0,1.0,0.0,-0.006634434625417129,1.099360859538217,-0.006634434625417129,HOLD
2023-07-20,439.2387390136719,1.0,1.0,1.0,0.0,0.0,1.099360859538217,0.0,HOLD
2023-07-21,439.2387390136719,1.0,1.0,1.0,0.0,0.004467248779352451,1.1042719779960568,0.004467248779352451,HOLD
2023-07-24,441.200927734375,1.0,1.0,1.0,0.0,0.002730044782999208,1.1072866899485971,0.002730044782999208,HOLD
2023-07-25,442.4054260253906,1.0,1.0,1.0,0.0,0.000153620734480997,1.1074567921431882,0.000153620734480997,HOLD
2023-07-26,442.473388671875,1.0,1.0,1.0,0.0,-0.006629851172855861,1.1001145184309105,-0.006629851172855861,HOLD
2023-07-27,439.53985595703125,1.0,1.0,1.0,0.0,0.009790289999709767,1.1108849585992402,0.009790289999709767,HOLD
2023-07-28,443.84307861328125,1.0,1.0,1.0,0.0,0.0019040350388652705,1.1130001224845616,0.0019040350388652705,HOLD
2023-07-31,444.68817138671875,1.0,1.0,1.0,0.0,-0.0028615365484311317,1.1098152319556638,-0.0028615365484310207,HOLD
2023-08-01,443.4156799316406,1.0,1.0,1.0,0.0,-0.013910884802969314,1.094376720111348,-0.013910884802969314,HOLD
2023-08-02,437.24737548828125,1.0,1.0,1.0,0.0,-0.0028658428743941755,1.091240408386114,-0.0028658428743940645,HOLD
2023-08-03,435.9942932128906,1.0,1.0,1.0,0.0,-0.004522680281977665,1.086305076908209,-0.0045226802819775536,HOLD
2023-08-04,434.0224304199219,1.0,1.0,1.0,0.0,0.008728490350228713,1.0957868802894069,0.008728490350228713,HOLD
2023-08-07,437.810791015625,1.0,1.0,1.0,0.0,-0.0043488219585082755,1.091021498242559,-0.0043488219585082755,HOLD
2023-08-08,435.9068298339844,1.0,1.0,1.0,0.0,-0.006685128146966535,1.0837278797157122,-0.006685128146966424,HOLD
2023-08-09,432.99273681640625,1.0,1.0,1.0,0.0,0.0003590280615599628,1.0841169684356249,0.0003590280615599628,HOLD
2023-08-10,433.148193359375,1.0,1.0,1.0,0.0,-0.0005831583693829412,1.0834847565520915,-0.0005831583693829412,HOLD
2023-08-11,432.8955993652344,1.0,1.0,1.0,0.0,0.005520008532883258,1.089465601653508,0.005520008532883258,HOLD
